model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,false_negatives,false_negative_rate
logistic_regression,0.5,0.9280853331610736,0.24572554394380675,0.9660537482319661,0.39179425543248153,0.9903695068848355,0.8714145349153687,0.9466031755060187,504,0.033946251768033946
random_forest,0.5,0.9699509059784891,0.4404044886831928,0.93574459486765,0.5989265621968831,0.9897976553317137,0.8902867881124217,0.9532679057750315,954,0.06425540513234997
xgboost,0.5955192993084589,0.9955040211879461,0.9148497145608364,0.8958712197750387,0.9052610086435717,0.9915773955385048,0.8965109053357075,0.946911407946003,1546,0.10412878022496128
