state,year,records,unique_bridges,poor_deck_count,columns
ME,2021,2485,2485,172,123
ME,2022,2505,2505,214,123
ME,2023,2521,2521,226,123
ME,2024,2518,2518,240,123
ME,2025,2542,2542,233,123
HI,2021,1162,1162,22,123
HI,2022,1177,1177,15,123
HI,2023,1190,1190,8,123
HI,2024,1195,1195,9,123
HI,2025,1180,1180,6,123
DE,2021,875,875,3,123
DE,2022,872,872,1,123
DE,2023,874,874,0,123
DE,2024,872,872,0,123
DE,2025,874,874,1,123
